reE,real_denoT,imag_denoT
-19.837,5.367676596816551,0.0
-19.836,5.34318448388828,0.0
-19.835,5.318747691414024,0.0
-19.834,5.294366135651835,0.0
-19.833,5.2700397329551985,0.0
-19.832,5.245768399772666,0.0
-19.831,5.221552052647521,0.0
-19.83,5.197390608218207,0.0
-19.829,5.173283983217989,0.0
-19.828,5.149232094474597,0.0
-19.827,5.125234858910753,0.0
-19.826,5.101292193543392,0.0
-19.825,5.077404015484182,0.0
-19.824,5.053570241939175,0.0
-19.823,5.0297907902084695,0.0
-19.822,5.006065577686636,0.0
-19.821,4.982394521862372,0.0
-19.82,4.958777540318164,0.0
-19.819,4.93521455073072,0.0
-19.818,4.911705470870609,0.0
-19.817,4.8882502186019465,0.0
-19.816,4.864848711882799,0.0
-19.815,4.841500868764845,0.0
-19.814,4.818206607393058,0.0
-19.813,4.794965846006099,0.0
-19.812,4.771778502935991,0.0
-19.811,4.748644496607796,0.0
-19.81,4.7255637455400095,0.0
-19.809,4.702536168344231,0.0
-19.808,4.679561683724847,0.0
-19.807,4.656640210479424,0.0
-19.806,4.633771667498377,0.0
-19.805,4.610955973764658,0.0
-19.804,4.58819304835414,0.0
-19.803,4.56548281043529,0.0
-19.802,4.542825179268869,0.0
-19.801,4.520220074208293,0.0
-19.8,4.4976674146993325,0.0
-19.799,4.4751671202797825,0.0
-19.798,4.452719110579855,0.0
-19.797,4.430323305321857,0.0
-19.796,4.407979624319875,0.0
-19.795,4.385687987480232,0.0
-19.794,4.363448314800781,0.0
-19.793,4.341260526371373,0.0
-19.792,4.319124542373537,0.0
-19.791,4.297040283080153,0.0
-19.79,4.275007668855853,0.0
-19.789,4.2530266201566835,0.0
-19.788,4.231097057529813,0.0
-19.787,4.209218901613895,0.0
-19.786,4.187392073138756,0.0
-19.785,4.165616492925084,0.0
-19.784,4.143892081884805,0.0
-19.783,4.122218761020783,0.0
-19.782,4.100596451426474,0.0
-19.781,4.079025074286344,0.0
-19.78,4.057504550875521,0.0
-19.779,4.036034802559504,0.0
-19.778,4.01461575079453,0.0
-19.777,3.993247317127261,0.0
-19.776,3.9719294231944824,0.0
-19.775,3.9506619907234697,0.0
-19.774,3.9294449415316723,0.0
-19.773,3.9082781975264145,0.0
-19.772,3.8871616807052636,0.0
-19.771,3.8660953131557143,0.0
-19.77,3.8450790170548967,0.0
-19.769,3.82411271466992,0.0
-19.768,3.80319632835759,0.0
-19.767,3.7823297805640888,0.0
-19.766,3.7615129938253453,0.0
-19.765,3.740745890766719,0.0
-19.764,3.7200283941027212,0.0
-19.763,3.6993604266374227,0.0
-19.762,3.6787419112637916,0.0
-19.761,3.6581727709641396,0.0
-19.76,3.6376529288098025,0.0
-19.759,3.617182307960845,0.0
-19.758,3.596760831666415,0.0
-19.757,3.5763884232644556,0.0
-19.756,3.5560650061813863,0.0
-19.755,3.535790503932475,0.0
-19.754,3.515564840121527,0.0
-19.753,3.495387938440589,0.0
-19.752,3.475259722670307,0.0
-19.751,3.455180116679621,0.0
-19.75,3.435149044425478,0.0
-19.749,3.4151664299531745,0.0
-19.748,3.395232197396053,0.0
-19.747,3.3753462709752267,0.0
-19.746,3.3555085749999107,0.0
-19.745,3.33571903386713,0.0
-19.744,3.3159775720614353,0.0
-19.743,3.2962841141552355,0.0
-19.742,3.276638584808506,0.0
-19.741,3.257040908768511,0.0
-19.74,3.2374910108701247,0.0
-19.739,3.217988816035555,0.0
-19.738,3.1985342492740454,0.0
-19.737,3.1791272356822224,0.0
-19.736,3.1597677004437905,0.0
-19.735,3.1404555688292692,0.0
-19.734,3.1211907661963645,0.0
-19.733,3.1019732179893666,0.0
-19.732,3.082802849739535,0.0
-19.731,3.063679587064816,0.0
-19.73,3.04460335566956,0.0
-19.729,3.0255740813448515,0.0
-19.728,3.006591689968216,0.0
-19.727,2.987656107503357,0.0
-19.726,2.9687672600004573,0.0
-19.725,2.949925073595913,0.0
-19.724,2.9311294745120478,0.0
-19.723,2.9123803890574442,0.0
-19.722,2.893677743626639,0.0
-19.721,2.8750214646998806,0.0
-19.72,2.856411478843414,0.0
-19.719,2.8378477127092245,0.0
-19.718,2.81933009303475,0.0
-19.717,2.800858546643208,0.0
-19.716,2.782433000443295,0.0
-19.715,2.7640533814289467,0.0
-19.714,2.7457196166796227,0.0
-19.713,2.7274316333600486,0.0
-19.712,2.7091893587199234,0.0
-19.711,2.6909927200942514,0.0
-19.71,2.6728416449030643,0.0
-19.709,2.6547360606511328,0.0
-19.708,2.636675894928293,0.0
-19.707,2.618661075409168,0.0
-19.706,2.6006915298528988,0.0
-19.705,2.582767186103445,0.0
-19.704,2.5648879720893194,0.0
-19.703,2.5470538158233214,0.0
-19.702,2.5292646454028977,0.0
-19.701,2.511520389009556,0.0
-19.7,2.493820974909241,0.0
-19.699,2.47616633145205,0.0
-19.698,2.458556387071985,0.0
-19.697,2.440991070287232,0.0
-19.696,2.4234703096999137,0.0
-19.695,2.405994033995808,0.0
-19.694,2.388562171944658,0.0
-19.693,2.3711746523998998,0.0
-19.692,2.3538314042983997,0.0
-19.691,2.3365323566607503,0.0
-19.69,2.3192774385910053,0.0
-19.689,2.30206657927642,0.0
-19.688,2.284899707987741,0.0
-19.687,2.267776754078943,0.0
-19.686,2.2506976469869735,0.0
-19.685,2.23366231623204,0.0
-19.684,2.2166706914173404,0.0
-19.683,2.199722702228816,0.0
-19.682,2.182818278435445,0.0
-19.681,2.1659573498889597,0.0
-19.68,2.1491398465236022,0.0
-19.679,2.1323656983564185,0.0
-19.678,2.1156348354869854,0.0
-19.677,2.098947188097161,0.0
-19.676,2.082302686451369,0.0
-19.675,2.0657012608963377,0.0
-19.674,2.0491428418608497,0.0
-19.673,2.032627359856016,0.0
-19.672,2.016154745475028,0.0
-19.671,1.9997249293929065,0.0
-19.67,1.983337842366824,0.0
-19.669,1.9669934152355706,0.0
-19.668,1.9506915789198862,0.0
-19.667,1.9344322644222092,0.0
-19.666,1.9182154028264162,0.0
-19.665,1.9020409252981105,0.0
-19.664,1.8859087630843603,0.0
-19.663,1.869818847513456,0.0
-19.662,1.853771109995174,0.0
-19.661,1.8377654820205285,0.0
-19.66,1.8218018951615402,0.0
-19.659,1.8058802810714807,0.0
-19.658,1.790000571484637,0.0
-19.657,1.774162698216063,0.0
-19.656,1.7583665931618528,0.0
-19.655,1.7426121882988819,0.0
-19.654,1.7268994156845685,0.0
-19.653,1.7112282074571405,0.0
-19.652,1.6955984958353851,0.0
-19.651,1.6800102131184094,0.0
-19.65,1.6644632916858986,0.0
-19.649,1.6489576639978731,0.0
-19.648,1.633493262594457,0.0
-19.647,1.6180700200961082,0.0
-19.646,1.6026878692034159,0.0
-19.645,1.5873467426968295,0.0
-19.644,1.5720465734369315,0.0
-19.643,1.5567872943641792,0.0
-19.642,1.5415688384986965,0.0
-19.641,1.5263911389404945,0.0
-19.64,1.5112541288692571,0.0
-19.639,1.4961577415440825,0.0
-19.638,1.481101910303812,0.0
-19.637,1.4660865685665077,0.0
-19.636,1.4511116498297523,0.0
-19.635,1.4361770876704278,0.0
-19.634,1.4212828157444704,0.0
-19.633,1.406428767787114,0.0
-19.632,1.3916148776126702,0.0
-19.631,1.3768410791142824,0.0
-19.63,1.3621073062641713,0.0
-19.629,1.3474134931134096,0.0
-19.628,1.3327595737916744,0.0
-19.627,1.318145482507519,0.0
-19.626,1.3035711535481012,0.0
-19.625,1.2890365212789894,0.0
-19.624,1.2745415201443744,0.0
-19.623,1.2600860846668622,0.0
-19.622,1.245670149447227,0.0
-19.621,1.2312936491646589,0.0
-19.62,1.216956518576533,0.0
-19.619,1.202658692518177,0.0
-19.618,1.1884001059031135,0.0
-19.617,1.1741806937228283,0.0
-19.616,1.1600003910465435,0.0
-19.615,1.1458591330214574,0.0
-19.614,1.1317568548725032,0.0
-19.613,1.1176934919021408,0.0
-19.612,1.1036689794905845,0.0
-19.611,1.089683253095564,0.0
-19.61,1.075736248252117,0.0
-19.609,1.0618279005728655,0.0
-19.608,1.0479581457475304,0.0
-19.607,1.034126919543226,0.0
-19.606,1.0203341578042189,0.0
-19.605,1.0065797964517285,0.0
-19.604,0.9928637714841285,0.0
-19.603,0.9791860189767463,0.0
-19.602,0.9655464750816266,0.0
-19.601,0.9519450760277633,0.0
-19.6,0.9383817581208821,0.0
-19.599,0.9248564577432115,0.0
-19.598,0.9113691113537152,0.0
-19.597,0.8979196554878618,0.0
-19.596,0.8845080267574199,0.0
-19.595,0.8711341618506618,0.0
-19.594,0.8577979975321649,0.0
-19.593,0.8444994706425769,0.0
-19.592,0.8312385180988431,0.0
-19.591,0.8180150768939934,0.0
-19.59,0.804829084096913,0.0
-19.589,0.7916804768525757,0.0
-19.588,0.7785691923818104,0.0
-19.587,0.7654951679811038,0.0
-19.586,0.7524583410228033,0.0
-19.585,0.7394586489549032,0.0
-19.584,0.7264960293008383,0.0
-19.583,0.7135704196596934,0.0
-19.582,0.7006817577059865,0.0
-19.581,0.6878299811894567,0.0
-19.58,0.6750150279352805,0.0
-19.579,0.6622368358438586,0.0
-19.578,0.6494953428905962,0.0
-19.577,0.6367904871261746,0.0
-19.576,0.6241222066760868,0.0
-19.575,0.6114904397409132,0.0
-19.574,0.5988951245960966,0.0
-19.573,0.5863361995917393,0.0
-19.572,0.5738136031528055,0.0
-19.571,0.5613272737789156,0.0
-19.57,0.5488771500441426,0.0
-19.569,0.5364631705972023,0.0
