real_of_E,imag_of_E,magnitude_of_T
0.7169696969696969,-8.484848484848484,0.1774222482459306
0.7169696969696969,-8.333333333333334,0.18564861217614395
0.7169696969696969,-8.181818181818182,0.19424243353032802
0.7169696969696969,-8.030303030303031,0.2032186844901457
0.7169696969696969,-7.878787878787879,0.2125929097412453
0.7169696969696969,-7.7272727272727275,0.2223812701845668
0.7169696969696969,-7.575757575757576,0.232600596187995
0.7169696969696969,-7.424242424242424,0.24326845256244084
0.7169696969696969,-7.2727272727272725,0.25440321788998077
0.7169696969696969,-7.121212121212121,0.2660241813635461
0.7169696969696969,-6.96969696969697,0.2781516609377787
0.7169696969696969,-6.818181818181818,0.29080714736444163
0.7169696969696969,-6.666666666666667,0.30401347962599534
0.7169696969696969,-6.515151515151516,0.317795058430299
0.7169696969696969,-6.363636363636363,0.3321781058437839
0.7169696969696969,-6.212121212121212,0.3471909808938992
0.7169696969696969,-6.0606060606060606,0.3628645631626131
0.7169696969696969,-5.909090909090909,0.3792327191536307
0.7169696969696969,-5.757575757575758,0.39633286972561127
0.7169696969696969,-5.606060606060606,0.41420668138606587
0.7169696969696969,-5.454545454545454,0.4329009100710718
0.7169696969696969,-5.303030303030303,0.45246843365941225
0.7169696969696969,-5.151515151515151,0.4729695195368313
0.7169696969696969,-5.0,0.4944733869562579
0.7169696969696969,-4.848484848484849,0.5170601420464441
0.7169696969696969,-4.696969696969697,0.540823188002402
0.7169696969696969,-4.545454545454546,0.5658722470232666
0.7169696969696969,-4.393939393939394,0.5923371780654537
0.7169696969696969,-4.242424242424242,0.6203728416500944
0.7169696969696969,-4.090909090909091,0.6501653592829861
0.7169696969696969,-3.9393939393939394,0.681940255260312
0.7169696969696969,-3.787878787878788,0.7159731761235631
0.7169696969696969,-3.6363636363636362,0.7526041956216392
0.7169696969696969,-3.484848484848485,0.7922571933350014
0.7169696969696969,-3.3333333333333335,0.835466549284041
0.7169696969696969,-3.1818181818181817,0.8829146099148741
0.7169696969696969,-3.0303030303030303,0.9354853852172975
0.7169696969696969,-2.878787878787879,0.9943433500112484
0.7169696969696969,-2.727272727272727,1.0610522368744413
0.7169696969696969,-2.5757575757575757,1.1377597270069852
0.7169696969696969,-2.4242424242424243,1.2274950594389848
0.7169696969696969,-2.272727272727273,1.3346692122593078
0.7169696969696969,-2.121212121212121,1.4659588939939072
0.7169696969696969,-1.9696969696969697,1.6319675498736705
0.7169696969696969,-1.8181818181818181,1.8505942734456067
0.7169696969696969,-1.6666666666666667,2.1545731139297306
0.7169696969696969,-1.5151515151515151,2.610725544044244
0.7169696969696969,-1.3636363636363635,3.3792766051165213
0.7169696969696969,-1.2121212121212122,4.95855604539958
0.7169696969696969,-1.0606060606060606,9.869234464078335
0.7169696969696969,-0.9090909090909091,18.421615731049364
0.7169696969696969,-0.7575757575757576,5.895629617452462
0.7169696969696969,-0.6060606060606061,3.1228755408128612
0.7169696969696969,-0.45454545454545453,2.0230148261144874
0.7169696969696969,-0.30303030303030304,1.448045863592653
0.7169696969696969,-0.15151515151515152,1.1069397490052526
0.7169696969696969,0.0,0.8923206347836915
1.4239393939393938,-15.0,0.028110757802587365
1.4239393939393938,-14.848484848484848,0.02939475758048412
1.4239393939393938,-14.696969696969697,0.030739272237369955
1.4239393939393938,-14.545454545454545,0.03214719494604323
1.4239393939393938,-14.393939393939394,0.03362155531503385
1.4239393939393938,-14.242424242424242,0.03516552537786234
1.4239393939393938,-14.090909090909092,0.03678242578733106
1.4239393939393938,-13.93939393939394,0.03847573221476407
