E,prob
0.078,0.06694148773794167
0.079,0.06785416910812979
0.08,0.06876823417522725
0.081,0.0696836828603282
0.082,0.070600515070242
0.083,0.07151873069742638
0.084,0.07243832961992581
0.085,0.07335931170130196
0.086,0.07428167679056857
0.087,0.07520542472212959
0.088,0.07613055531570899
0.089,0.07705706837628419
0.09,0.07798496369403049
0.091,0.07891424104424163
0.092,0.07984490018727133
0.093,0.08077694086846869
0.094,0.0817103628181109
0.095,0.08264516575133413
0.096,0.08358134936807608
0.097,0.08451891335299938
0.098,0.08545785737543472
0.099,0.08639818108931545
0.1,0.08733988413310165
0.101,0.08828296612972804
0.102,0.08922742668652983
0.103,0.09017326539517853
0.104,0.09112048183161708
0.105,0.09206907555599683
0.106,0.09301904611260861
0.107,0.09397039302981741
0.108,0.09492311581999902
0.109,0.09587721397947117
0.11,0.09683268698843442
0.111,0.09778953431090161
0.112,0.09874775539463182
0.113,0.09970734967107095
0.114,0.10066831655528051
0.115,0.10163065544587381
0.116,0.10259436572495718
0.117,0.10355944675805467
0.118,0.10452589789404834
0.119,0.10549371846511729
0.12,0.10646290778666766
0.121,0.10743346515726525
0.122,0.10840538985857981
0.123,0.1093786811553102
0.124,0.1103533382951318
0.125,0.11132936050861875
0.126,0.11230674700919122
0.127,0.11328549699304216
0.128,0.11426560963907717
0.129,0.11524708410885273
0.13,0.11622991954651017
0.131,0.1172141150787067
0.132,0.11819966981456068
0.133,0.11918658284558054
0.134,0.12017485324560864
0.135,0.12116448007074715
0.136,0.12215546235930541
0.137,0.12314779913172437
0.138,0.12414148939053644
0.139,0.12513653212027004
0.14,0.1261329262874134
0.141,0.12713067084034022
0.142,0.12812976470924922
0.143,0.129130206806098
0.144,0.13013199602454914
0.145,0.1311351312398994
0.146,0.1321396113090224
0.147,0.13314543507030271
0.148,0.13415260134358276
0.149,0.13516110893008706
0.15,0.13617095661237344
0.151,0.13718214315426724
0.152,0.1381946673007998
0.153,0.13920852777814086
0.154,0.1402237232935578
0.155,0.14124025253532801
0.156,0.14225811417269693
0.157,0.14327730685581808
0.158,0.14429782921567863
0.159,0.1453196798640502
0.16,0.14634285739343436
0.161,0.1473673603769869
0.162,0.14839318736847099
0.163,0.1494203369022
0.164,0.15044880749295864
0.165,0.15147859763597435
0.166,0.15250970580683437
0.167,0.15354213046143356
0.168,0.1545758700359278
0.169,0.15561092294665402
0.17,0.1566472875901005
0.171,0.15768496234281812
0.172,0.1587239455613917
0.173,0.15976423558236605
0.174,0.1608058307221895
0.175,0.16184872927716362
0.176,0.16289292952339057
0.177,0.16393842971670716
0.178,0.16498522809262708
0.179,0.1660333228662993
0.18,0.1670827122324428
0.181,0.16813339436528726
0.182,0.1691853674185372
0.183,0.1702386295252899
0.184,0.1712931787980109
0.185,0.1723490133284506
0.186,0.17340613118761333
0.187,0.1744645304257006
0.188,0.17552420907203992
0.189,0.17658516513505393
0.19,0.17764739660220194
0.191,0.17871090143991536
0.192,0.17977567759356292
0.193,0.18084172298739093
0.194,0.18190903552446835
0.195,0.1829776130866422
0.196,0.18404745353448723
0.197,0.18511855470724606
0.198,0.1861909144227972
0.199,0.1872645304775813
0.2,0.18833940064657573
0.201,0.1894155226832278
0.202,0.19049289431941496
0.203,0.19157151326539465
0.204,0.19265137720975578
0.205,0.19373248381936664
0.206,0.19481483073934178
0.207,0.19589841559298032
0.208,0.19698323598171846
0.209,0.1980692894851002
0.21,0.19915657366071407
0.211,0.20024508604415187
0.212,0.20133482414897583
0.213,0.20242578546665638
0.214,0.20351796746653616
0.215,0.20461136759578227
0.216,0.20570598327935927
0.217,0.20680181191995697
0.218,0.2078988508979716
0.219,0.20899709757145263
0.22,0.21009654927606358
0.221,0.21119720332504285
0.222,0.21229905700915847
0.223,0.21340210759666894
0.224,0.21450635233328855
0.225,0.21561178844213197
0.226,0.21671841312369078
0.227,0.21782622355579695
0.228,0.21893521689356063
0.229,0.22004539026935868
0.23,0.22115674079278644
0.231,0.22226926555061788
0.232,0.22338296160676352
0.233,0.2244978260022614
0.234,0.22561385575520876
0.235,0.22673104786073456
0.236,0.2278493992909898
0.237,0.22896890699507194
0.238,0.23008956789903184
0.239,0.2312113789058084
0.24,0.23233433689521377
0.241,0.23345843872389627
0.242,0.23458368122531115
0.243,0.2357100612096723
0.244,0.2368375754639555
0.245,0.23796622075183624
0.246,0.23909599381367222
0.247,0.24022689136647313
0.248,0.24135891010387872
0.249,0.24249204669611152
0.25,0.24362629778998035
0.251,0.244761660008819
0.252,0.2458981299524754
0.253,0.247035704197291
0.254,0.24817437929606947
0.255,0.24931415177804891
0.256,0.25045501814888593
0.257,0.2515969748906072
0.258,0.25274001846162997
0.259,0.25388414529670167
